Game,교대 협력자 하루,교대 배신자 이로하,순수한 협력가 카나에,냉혈한 배신자 아카네,나쁜 사람 미루,이분법자 츠바사,사기캐 시유,연대책임론자 안즈,상황을 판단하려 드는 아이리스,보복을 두려워하는 배신자 사라,사과할줄 아는 루나,빚을 잊지 않는 아이코,정제된 광기 히카리,계산적인 장사꾼 이치카,자애로운 협력가 리나,생각하는 보복가 카즈하,약육강식 노엘,용서하는 자 모모,도박사 키리코,감정적인 유리멘탈 치카코,좋은 사람 세리,신중한 보복가 미카,즉흥적인 배짱이 하루카,탐욕적인 기회주의자 레이나,복수의 사도 카오리,협력 유도자 스즈메,철저한 분석가 나나세,뒷끝있는 협력자 키누에,반동분자 유리,진화하는 히토미,분탕종자 레이,기분파 인간 아이,전략적 판단가 니코,성향 시험자 아리스,교활한 인간 린,패턴 파괴자 우이,과거를 기억하는 미나,화해를 원하는 모네,영악한 착취자 아스나,위대한 예언가 유키카,확률적 협력가 유즈키,최근을 더 고려하는 리츠,미친 변덕쟁이 미유,의심을 거두는 아오이,붉은 혁명 루카리,인내하는 카렌,첫 인상만 보는 하츠네,지능형 배신자 사오리,가차없는 코노하,선입견에 가득 찬 니카,고뇌하는 협력가 마리,교활한 협력가 나츠키,정석적인 인간 아야메,실리주의자 사에,비열한 사기꾼 히나코,멍텅구리 치히로,두 배로 응징하는 미호
15,2647.62,-,-,2606.66,2557.12,2637.60,3008.58,2601.68,2611.16,-,-,2768.16,2669.86,2902.10,2755.08,2712.22,-,2701.96,2625.76,2802.08,2600.72,2802.60,2606.72,2725.56,2783.46,2628.46,2743.70,2726.48,-,2604.60,2574.28,2695.88,-,-,2606.14,-,2751.60,2696.28,2597.68,2824.72,-,-,2587.22,-,2568.80,2736.06,2569.04,2773.62,2739.92,2636.44,-,2630.36,2734.78,2739.08,-,2605.88,2749.14
16,2599.76,-,-,2553.12,-,2610.64,2958.58,2536.60,2570.82,-,-,2704.76,2619.20,2848.28,2683.00,2653.06,-,2657.18,2574.52,2751.56,2565.20,2716.56,2555.38,2681.64,2710.68,2584.80,2691.34,2674.58,-,2550.12,2518.22,2631.86,-,-,2552.08,-,2713.70,2630.26,2532.84,2763.40,-,-,2537.66,-,2512.88,2692.72,2519.30,2707.74,2711.34,2573.98,-,2582.38,2697.12,2694.22,-,2560.92,2691.24
17,2539.00,-,-,2480.14,-,2540.18,2930.30,2471.48,2487.20,-,-,2669.38,2583.38,2802.46,2662.98,2609.88,-,2605.56,2542.50,2687.64,2508.80,2690.20,2514.56,2626.04,2680.32,2534.92,2650.82,2627.84,-,2502.18,2451.36,2615.80,-,-,2488.98,-,2660.64,2586.62,2485.46,2719.22,-,-,2457.76,-,-,2642.22,2456.88,2667.26,2663.44,2487.58,-,2517.98,2656.46,2646.90,-,2520.04,2624.46
18,2464.76,-,-,2375.04,-,2466.84,2827.60,2375.26,2423.26,-,-,2598.40,2493.90,2725.86,2576.70,2530.32,-,2532.58,2434.62,2605.38,2421.52,2597.84,2444.72,2550.70,2598.88,2467.08,2571.48,2549.28,-,2432.34,-,2540.86,-,-,2412.40,-,2584.98,2507.74,2402.74,2643.90,-,-,2374.30,-,-,2564.82,2380.08,2610.90,2585.46,2412.08,-,2435.88,2581.04,2571.60,-,2426.22,2544.88
19,2410.26,-,-,2305.30,-,2388.96,2739.26,2296.86,2355.32,-,-,2532.52,2435.72,2635.70,2507.14,2473.82,-,2484.90,2365.76,2549.50,2367.48,2495.66,2377.84,2469.54,2490.80,2393.16,2506.84,2454.06,-,2343.82,-,2457.86,-,-,2327.10,-,2522.50,2436.06,2323.98,2567.72,-,-,-,-,-,2504.74,2309.28,2555.14,2496.04,2360.28,-,2396.00,2512.10,2488.20,-,2345.96,2473.54
20,2370.16,-,-,2282.08,-,2332.66,2714.80,-,2317.14,-,-,2474.32,2408.92,2596.76,2477.48,2443.86,-,2443.74,2337.54,2506.86,2335.84,2470.08,2332.22,2429.98,2444.48,2383.20,2481.36,2407.06,-,2341.50,-,2424.66,-,-,2309.00,-,2493.42,2401.66,2277.88,2528.76,-,-,-,-,-,2486.52,2263.52,2511.92,2455.56,2310.24,-,2314.02,2451.32,2466.78,-,2300.02,2431.78
21,2304.62,-,-,2225.18,-,2297.32,2651.54,-,2262.12,-,-,2410.28,2335.00,2537.84,2420.90,2406.12,-,2381.02,2276.58,2435.12,2275.56,2392.02,2298.14,2365.18,2377.76,2322.86,2398.24,2345.42,-,2265.16,-,2372.48,-,-,2245.50,-,2421.68,2349.66,2216.02,2472.32,-,-,-,-,-,2411.76,-,2449.38,2365.66,2246.58,-,2259.22,2401.28,2400.44,-,2278.10,2372.62
22,2272.82,-,-,2170.04,-,2241.08,2585.62,-,2190.68,-,-,2372.82,2324.74,2489.76,2369.30,2365.46,-,2336.90,2236.04,2400.28,2253.90,2346.94,2255.78,2323.32,2359.56,2300.04,2379.78,2308.40,-,2234.70,-,2316.94,-,-,2255.36,-,2389.46,2297.92,-,2438.82,-,-,-,-,-,2395.00,-,2428.84,2339.00,2214.56,-,2229.56,2355.56,2352.94,-,2244.98,2300.56
23,2239.38,-,-,-,-,2218.18,2559.84,-,2188.48,-,-,2328.20,2281.14,2444.10,2350.08,2331.22,-,2334.52,2189.18,2389.82,2253.88,2315.42,2210.30,2287.52,2305.12,2283.76,2358.62,2275.86,-,2208.48,-,2302.74,-,-,2221.48,-,2367.56,2255.90,-,2397.20,-,-,-,-,-,2378.40,-,2399.50,2295.60,2172.34,-,2180.10,2316.94,2318.36,-,2207.54,2286.80
24,2141.60,-,-,-,-,2165.42,2426.06,-,2128.10,-,-,2250.46,2201.74,2381.04,2264.70,2242.44,-,2239.46,2074.58,2294.16,2177.44,2192.22,2166.46,2195.42,2186.02,2205.98,2249.82,2195.34,-,2144.52,-,2213.96,-,-,2113.54,-,2271.56,2188.16,-,2317.08,-,-,-,-,-,2294.22,-,2293.68,2229.20,-,-,2146.92,2244.94,2237.08,-,2132.36,2196.72
25,2124.78,-,-,-,-,2147.06,2385.48,-,2065.30,-,-,2198.58,2168.12,2340.66,2227.90,2201.08,-,2210.70,-,2273.50,2143.30,2153.80,2132.64,2165.46,2145.26,2174.68,2219.68,2127.50,-,2117.14,-,2176.88,-,-,2096.06,-,2243.42,2171.18,-,2272.40,-,-,-,-,-,2253.34,-,2262.90,2184.34,-,-,2115.90,2212.54,2208.16,-,2116.12,2148.48
26,2045.62,-,-,-,-,2063.78,2278.42,-,-,-,-,2153.60,2077.48,2254.40,2162.06,2144.66,-,2113.46,-,2168.78,2061.82,2101.32,2062.96,2085.08,2090.72,2096.18,2115.84,2067.58,-,2055.86,-,2102.26,-,-,2016.98,-,2167.58,2081.24,-,2185.86,-,-,-,-,-,2174.08,-,2188.60,2118.42,-,-,2059.22,2143.50,2121.18,-,2034.70,2077.96
27,1987.04,-,-,-,-,2014.28,2164.48,-,-,-,-,2065.22,1980.88,2186.46,2089.00,2102.44,-,2075.44,-,2073.20,2012.40,1979.02,2009.74,2021.64,1985.08,2043.24,2044.96,1983.44,-,1966.46,-,2034.18,-,-,-,-,2091.78,2039.10,-,2130.84,-,-,-,-,-,2120.26,-,2124.36,2017.02,-,-,1975.68,2077.82,2070.78,-,1956.50,2010.72
28,1917.20,-,-,-,-,1943.24,2107.20,-,-,-,-,1990.00,1920.02,2108.18,2034.12,2014.10,-,2012.40,-,2024.70,1948.82,1925.20,1922.18,1965.72,1908.52,1985.96,1979.20,1934.24,-,1898.18,-,1951.60,-,-,-,-,2023.44,1947.64,-,2072.48,-,-,-,-,-,2051.06,-,2065.14,1964.16,-,-,1917.16,2003.64,2009.32,-,-,1923.42
29,1837.74,-,-,-,-,1866.94,2013.76,-,-,-,-,1920.46,1858.16,2032.36,1960.78,1971.50,-,1956.26,-,1953.82,1888.62,1823.90,1844.28,1890.66,1829.30,1940.52,1907.42,1837.78,-,-,-,1905.38,-,-,-,-,1959.06,1878.24,-,1983.52,-,-,-,-,-,2011.86,-,2008.18,1875.60,-,-,1847.56,1939.70,1936.26,-,-,1866.26
30,1819.58,-,-,-,-,1833.90,1980.48,-,-,-,-,1878.24,1825.48,1976.32,1914.08,1919.70,-,1905.70,-,1910.96,1856.86,-,1820.68,1848.38,1764.56,1893.58,1857.18,1797.44,-,-,-,1868.76,-,-,-,-,1918.36,1834.72,-,1939.76,-,-,-,-,-,1962.16,-,1967.20,1832.26,-,-,1800.92,1886.62,1898.88,-,-,1823.18
31,1780.80,-,-,-,-,1783.60,1932.90,-,-,-,-,1821.74,1771.34,1925.26,1867.72,1879.46,-,1839.74,-,1861.42,1846.80,-,1779.82,1785.32,-,1851.88,1819.26,1749.58,-,-,-,1823.32,-,-,-,-,1862.62,1798.08,-,1881.58,-,-,-,-,-,1916.60,-,1925.16,1794.36,-,-,1764.14,1834.34,1836.24,-,-,1772.58
32,1732.22,-,-,-,-,1737.46,1887.48,-,-,-,-,1781.78,1721.18,1868.94,1823.20,1821.80,-,1805.18,-,1812.72,1792.34,-,1740.12,1763.98,-,1798.72,1762.50,-,-,-,-,1755.86,-,-,-,-,1811.18,1758.92,-,1840.70,-,-,-,-,-,1850.92,-,1877.72,1726.92,-,-,1721.08,1810.12,1796.46,-,-,1719.78
33,1703.18,-,-,-,-,1695.38,1829.16,-,-,-,-,1726.94,1685.86,1809.08,1763.92,1764.70,-,1744.02,-,1769.86,1725.76,-,1690.94,1714.18,-,1725.10,1716.88,-,-,-,-,1746.86,-,-,-,-,1764.30,1705.28,-,1783.18,-,-,-,-,-,1778.66,-,1808.20,1674.68,-,-,1704.02,1743.18,1763.92,-,-,-
34,1690.58,-,-,-,-,1645.42,1791.26,-,-,-,-,1678.40,1639.08,1742.76,1716.68,1696.36,-,1679.22,-,1721.42,1675.72,-,1644.20,1649.48,-,1673.96,1650.06,-,-,-,-,1683.66,-,-,-,-,1721.72,1657.18,-,1699.68,-,-,-,-,-,1702.20,-,1729.26,-,-,-,1641.58,1691.64,1699.74,-,-,-
35,1608.48,-,-,-,-,1582.12,1700.78,-,-,-,-,1613.46,-,1692.86,1654.70,1642.46,-,1621.00,-,1628.78,1597.28,-,1602.52,1594.38,-,1608.80,1599.04,-,-,-,-,1615.46,-,-,-,-,1640.50,1602.34,-,1639.56,-,-,-,-,-,1656.38,-,1696.18,-,-,-,1581.80,1636.00,1621.18,-,-,-
36,1532.82,-,-,-,-,1544.28,1649.08,-,-,-,-,1547.24,-,1621.86,1581.78,1569.86,-,1546.62,-,1569.80,1548.00,-,1532.86,1533.42,-,1539.02,1528.28,-,-,-,-,1558.32,-,-,-,-,1571.80,1510.84,-,1584.22,-,-,-,-,-,1575.10,-,1610.86,-,-,-,-,1571.32,1562.72,-,-,-
37,1468.86,-,-,-,-,1462.10,1592.98,-,-,-,-,1474.60,-,1543.52,1494.42,1485.26,-,1457.08,-,1504.22,1464.02,-,1440.04,1471.90,-,1452.66,1459.72,-,-,-,-,1485.88,-,-,-,-,1509.50,-,-,1503.98,-,-,-,-,-,1492.36,-,1533.44,-,-,-,-,1499.80,1496.60,-,-,-
38,1397.86,-,-,-,-,1390.08,1526.64,-,-,-,-,1394.36,-,1453.16,1435.00,1436.10,-,1412.42,-,1416.92,1416.30,-,-,1395.16,-,1408.22,1390.58,-,-,-,-,1414.00,-,-,-,-,1437.84,-,-,1426.34,-,-,-,-,-,1441.42,-,1469.50,-,-,-,-,1414.28,1418.46,-,-,-
39,1337.58,-,-,-,-,-,1447.72,-,-,-,-,1348.66,-,1384.86,1361.66,1352.02,-,1340.12,-,1345.60,1314.10,-,-,1338.14,-,1315.20,1305.30,-,-,-,-,1348.62,-,-,-,-,1357.02,-,-,1351.86,-,-,-,-,-,1351.50,-,1379.88,-,-,-,-,1352.32,1356.46,-,-,-
40,1266.10,-,-,-,-,-,1357.14,-,-,-,-,1273.80,-,1317.00,1297.16,1291.64,-,1267.66,-,1280.00,1262.92,-,-,1260.76,-,1264.00,-,-,-,-,-,1296.12,-,-,-,-,1295.38,-,-,1283.52,-,-,-,-,-,1293.88,-,1332.54,-,-,-,-,1294.92,1309.24,-,-,-
41,1187.44,-,-,-,-,-,1308.34,-,-,-,-,1223.74,-,1250.08,1234.22,1226.92,-,1207.60,-,1224.12,1192.08,-,-,-,-,1190.76,-,-,-,-,-,1211.60,-,-,-,-,1232.90,-,-,1224.56,-,-,-,-,-,1218.88,-,1256.60,-,-,-,-,1228.26,1246.66,-,-,-
42,-,-,-,-,-,-,1213.70,-,-,-,-,1137.26,-,1178.96,1163.74,1165.18,-,1150.98,-,1137.92,1128.08,-,-,-,-,1149.72,-,-,-,-,-,1150.98,-,-,-,-,1154.30,-,-,1140.16,-,-,-,-,-,1164.98,-,1199.22,-,-,-,-,1173.76,1168.18,-,-,-
43,-,-,-,-,-,-,1106.38,-,-,-,-,1046.32,-,1089.04,1096.62,1089.38,-,1082.44,-,1058.68,-,-,-,-,-,1072.48,-,-,-,-,-,1076.36,-,-,-,-,1079.76,-,-,1070.70,-,-,-,-,-,1098.58,-,1135.56,-,-,-,-,1083.42,1071.44,-,-,-
44,-,-,-,-,-,-,1063.98,-,-,-,-,-,-,1014.10,1023.06,1023.60,-,1001.94,-,995.38,-,-,-,-,-,996.52,-,-,-,-,-,1015.58,-,-,-,-,1028.74,-,-,999.60,-,-,-,-,-,1023.66,-,1057.40,-,-,-,-,1018.26,1018.90,-,-,-
45,-,-,-,-,-,-,997.58,-,-,-,-,-,-,959.06,963.40,968.46,-,934.94,-,-,-,-,-,-,-,937.58,-,-,-,-,-,959.04,-,-,-,-,969.20,-,-,946.24,-,-,-,-,-,954.98,-,1006.64,-,-,-,-,960.76,964.16,-,-,-
46,-,-,-,-,-,-,906.34,-,-,-,-,-,-,870.54,877.96,880.68,-,-,-,-,-,-,-,-,-,860.28,-,-,-,-,-,871.40,-,-,-,-,877.30,-,-,858.42,-,-,-,-,-,867.14,-,913.82,-,-,-,-,875.50,872.44,-,-,-
47,-,-,-,-,-,-,824.10,-,-,-,-,-,-,793.28,800.22,799.78,-,-,-,-,-,-,-,-,-,762.14,-,-,-,-,-,798.72,-,-,-,-,799.84,-,-,-,-,-,-,-,-,787.44,-,819.66,-,-,-,-,807.58,807.76,-,-,-
48,-,-,-,-,-,-,717.68,-,-,-,-,-,-,703.28,712.74,708.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,706.10,-,-,-,-,710.92,-,-,-,-,-,-,-,-,698.76,-,729.88,-,-,-,-,708.56,705.98,-,-,-
49,-,-,-,-,-,-,621.04,-,-,-,-,-,-,619.86,621.12,614.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,614.36,-,-,-,-,627.42,-,-,-,-,-,-,-,-,-,-,637.96,-,-,-,-,616.28,627.56,-,-,-
50,-,-,-,-,-,-,556.54,-,-,-,-,-,-,547.86,548.66,548.10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,551.96,-,-,-,-,-,-,-,-,-,-,566.40,-,-,-,-,546.88,550.12,-,-,-
51,-,-,-,-,-,-,485.64,-,-,-,-,-,-,476.88,479.86,467.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,483.94,-,-,-,-,-,-,-,-,-,-,487.82,-,-,-,-,-,480.12,-,-,-
52,-,-,-,-,-,-,386.50,-,-,-,-,-,-,387.16,387.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,390.08,-,-,-,-,-,-,-,-,-,-,397.96,-,-,-,-,-,384.42,-,-,-
53,-,-,-,-,-,-,323.32,-,-,-,-,-,-,317.50,321.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,317.02,-,-,-,-,-,-,-,-,-,-,317.70,-,-,-,-,-,-,-,-,-
54,-,-,-,-,-,-,249.84,-,-,-,-,-,-,244.10,239.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240.32,-,-,-,-,-,-,-,-,-
55,-,-,-,-,-,-,166.32,-,-,-,-,-,-,159.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156.32,-,-,-,-,-,-,-,-,-
56,-,-,-,-,-,-,78.76,-,-,-,-,-,-,73.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,-,-,-,-,-,-,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
